Freelancer_ID,Skills,Hourly_Rate,Rating,Completed_Projects
F0000,"['Docker', 'AWS', 'SQL', 'JavaScript']",99.25,4.4,98
F0001,"['NodeJS', 'Python', 'AWS', 'Django', 'JavaScript']",90.35,3.0,36
F0002,"['React', 'NodeJS', 'Docker']",82.65,4.6,97
F0003,"['Docker', 'Python']",81.66,3.8,85
F0004,"['Docker', 'AWS', 'React']",28.79,3.6,42
F0005,"['React', 'SQL']",47.74,3.4,91
F0006,"['Python', 'NodeJS', 'React']",51.12,3.0,46
F0007,"['Django', 'SQL', 'Docker']",16.75,4.6,15
F0008,"['Python', 'NodeJS', 'JavaScript', 'Django']",61.46,3.6,18
F0009,"['SQL', 'Docker']",25.67,4.8,8
F0010,"['NodeJS', 'React']",63.56,3.4,9
F0011,"['Python', 'NodeJS', 'Django', 'React', 'Docker']",93.87,3.8,93
F0012,"['Docker', 'Python', 'SQL', 'React']",68.2,3.9,53
F0013,"['Django', 'NodeJS']",37.5,3.5,36
F0014,"['React', 'Python', 'SQL', 'AWS']",27.16,3.9,41
F0015,"['AWS', 'Python', 'SQL', 'Django']",75.08,3.2,96
F0016,"['Docker', 'JavaScript', 'React', 'AWS', 'Django']",31.32,3.6,26
F0017,"['JavaScript', 'Python', 'Django', 'AWS', 'NodeJS']",59.65,3.1,61
F0018,"['Python', 'Docker', 'AWS', 'React']",49.29,4.1,82
F0019,"['SQL', 'AWS', 'React']",91.14,3.7,21
F0020,"['Docker', 'Python', 'AWS']",46.83,4.3,97
F0021,"['React', 'Docker', 'Python', 'NodeJS']",77.8,4.1,39
F0022,"['Python', 'Docker', 'React']",83.54,4.9,96
F0023,"['SQL', 'JavaScript', 'AWS', 'Docker', 'Python']",80.31,4.4,72
F0024,"['SQL', 'React', 'Docker', 'JavaScript']",88.63,4.5,20
F0025,"['React', 'NodeJS', 'Django', 'Python']",94.28,4.6,72
F0026,"['Python', 'Django']",24.07,4.4,53
F0027,"['React', 'Python', 'SQL', 'AWS']",33.22,4.9,7
F0028,"['React', 'AWS', 'Python', 'Django']",54.74,3.9,96
F0029,"['SQL', 'Python', 'React']",61.15,4.8,77
F0030,"['React', 'AWS', 'Django']",35.09,4.1,48
F0031,"['Python', 'NodeJS', 'Django', 'AWS', 'SQL']",88.83,3.7,52
F0032,"['AWS', 'Docker']",21.04,4.2,53
F0033,"['SQL', 'React', 'Docker']",40.45,3.0,77
F0034,"['AWS', 'Docker', 'JavaScript', 'Django']",70.2,4.2,21
F0035,"['Docker', 'SQL']",51.39,4.2,11
F0036,"['AWS', 'Docker', 'SQL', 'Python', 'NodeJS']",49.91,4.4,84
F0037,"['Python', 'NodeJS', 'Django']",33.78,3.1,82
F0038,"['AWS', 'SQL', 'Docker', 'NodeJS']",50.5,4.4,81
F0039,"['React', 'AWS', 'SQL']",51.78,3.1,29
F0040,"['JavaScript', 'Django', 'React', 'AWS', 'NodeJS']",77.48,4.2,50
F0041,"['Python', 'AWS', 'Django']",92.5,4.3,45
F0042,"['Django', 'AWS', 'Python']",72.44,4.9,16
F0043,"['SQL', 'React', 'Django', 'AWS']",87.05,4.7,15
F0044,"['Django', 'Python']",23.04,4.6,88
F0045,"['React', 'JavaScript', 'Docker']",34.68,3.1,31
F0046,"['SQL', 'Python', 'NodeJS', 'AWS']",42.95,4.9,6
F0047,"['Docker', 'JavaScript', 'NodeJS', 'Django', 'AWS']",43.03,3.7,39
F0048,"['SQL', 'JavaScript', 'Docker']",70.04,4.9,76
F0049,"['React', 'AWS', 'Python', 'Docker', 'Django']",97.81,3.9,61
F0050,"['Python', 'Django', 'SQL', 'JavaScript']",78.95,3.7,74
F0051,"['NodeJS', 'JavaScript', 'React', 'Django']",39.18,3.3,53
F0052,"['SQL', 'NodeJS', 'Docker', 'Python', 'Django']",95.38,4.3,50
F0053,"['Docker', 'SQL', 'JavaScript', 'Django', 'NodeJS']",40.08,4.4,26
F0054,"['Docker', 'Django', 'NodeJS', 'React', 'AWS']",54.81,3.9,9
F0055,"['SQL', 'AWS', 'NodeJS']",61.39,4.1,86
F0056,"['Django', 'JavaScript', 'NodeJS', 'Python']",92.55,3.2,47
F0057,"['SQL', 'React', 'Docker']",73.9,4.6,48
F0058,"['Python', 'SQL']",49.02,3.1,5
F0059,"['Django', 'Python', 'Docker', 'React']",99.27,4.3,25
F0060,"['SQL', 'JavaScript', 'AWS']",53.59,4.4,25
F0061,"['Django', 'JavaScript', 'NodeJS', 'Docker', 'React']",17.82,4.2,23
F0062,"['React', 'JavaScript', 'SQL', 'Docker']",33.11,3.8,24
F0063,"['Docker', 'NodeJS']",81.35,4.4,68
F0064,"['NodeJS', 'Django']",85.18,3.3,72
F0065,"['JavaScript', 'NodeJS', 'React', 'Docker']",31.05,3.3,29
F0066,"['Django', 'JavaScript', 'AWS', 'SQL']",54.17,3.9,50
F0067,"['JavaScript', 'Docker']",17.65,3.5,78
F0068,"['Docker', 'JavaScript', 'Django', 'React', 'AWS']",19.24,4.6,67
F0069,"['Python', 'SQL']",94.18,4.7,85
F0070,"['Python', 'SQL', 'NodeJS']",36.15,3.8,95
F0071,"['Docker', 'JavaScript']",92.26,3.5,31
F0072,"['Python', 'AWS', 'SQL', 'React']",69.56,4.4,44
F0073,"['AWS', 'JavaScript', 'NodeJS', 'Django', 'React']",92.39,4.0,38
F0074,"['React', 'Python', 'Django', 'NodeJS', 'JavaScript']",50.63,3.8,78
F0075,"['SQL', 'NodeJS', 'AWS', 'React', 'JavaScript']",71.76,3.9,7
F0076,"['Django', 'NodeJS', 'JavaScript']",80.77,4.0,39
F0077,"['Python', 'SQL', 'JavaScript']",80.42,3.9,94
F0078,"['NodeJS', 'SQL', 'Docker', 'Django']",81.05,4.9,10
F0079,"['AWS', 'Docker', 'NodeJS', 'Django']",89.79,4.0,70
F0080,"['React', 'JavaScript', 'Django']",29.97,3.3,42
F0081,"['Docker', 'React', 'NodeJS']",15.52,4.4,18
F0082,"['Python', 'React', 'JavaScript', 'Django', 'AWS']",72.45,4.8,36
F0083,"['Docker', 'Python', 'SQL', 'JavaScript', 'React']",39.43,4.3,33
F0084,"['React', 'Docker', 'JavaScript']",80.23,3.6,64
F0085,"['SQL', 'React']",34.45,4.5,60
F0086,"['AWS', 'JavaScript', 'React', 'SQL']",82.64,4.8,77
F0087,"['NodeJS', 'JavaScript']",82.55,4.6,34
F0088,"['Django', 'Python', 'AWS']",32.61,5.0,50
F0089,"['Django', 'JavaScript']",68.08,3.4,18
F0090,"['React', 'NodeJS', 'SQL', 'Django', 'Docker']",55.52,3.1,29
F0091,"['NodeJS', 'Django', 'AWS', 'SQL', 'Docker']",36.68,3.9,59
F0092,"['Docker', 'JavaScript', 'React', 'NodeJS', 'Python']",62.41,3.6,58
F0093,"['Python', 'NodeJS']",32.57,3.9,11
F0094,"['JavaScript', 'Python']",42.6,4.8,28
F0095,"['Docker', 'Django', 'AWS', 'JavaScript']",80.96,3.8,76
F0096,"['Django', 'React']",53.2,4.6,47
F0097,"['React', 'AWS']",90.79,4.6,89
F0098,"['SQL', 'NodeJS']",62.91,3.5,7
F0099,"['Docker', 'SQL', 'Python']",18.1,3.5,26
F0100,"['JavaScript', 'React', 'Python', 'NodeJS']",79.88,4.2,63
F0101,"['Python', 'Django', 'AWS', 'React', 'JavaScript']",54.23,4.6,9
F0102,"['JavaScript', 'Docker']",46.43,4.6,23
F0103,"['AWS', 'NodeJS', 'Docker']",17.01,3.1,19
F0104,"['React', 'NodeJS']",42.02,3.9,40
F0105,"['Python', 'React', 'NodeJS', 'AWS', 'Django']",96.91,3.0,91
F0106,"['Docker', 'AWS', 'JavaScript']",76.54,3.8,70
F0107,"['Python', 'AWS']",19.48,4.5,18
F0108,"['React', 'NodeJS', 'JavaScript', 'SQL']",20.98,3.6,63
F0109,"['Python', 'SQL']",63.08,5.0,32
F0110,"['JavaScript', 'SQL', 'Docker']",48.37,3.5,56
F0111,"['SQL', 'JavaScript', 'Docker']",74.71,3.5,33
F0112,"['SQL', 'JavaScript', 'AWS']",17.5,4.4,34
F0113,"['SQL', 'Django', 'Python']",48.81,3.1,95
F0114,"['NodeJS', 'React']",72.29,4.5,77
F0115,"['NodeJS', 'Docker', 'Python', 'SQL', 'JavaScript']",59.93,4.0,69
F0116,"['NodeJS', 'SQL', 'Docker', 'JavaScript', 'React']",79.11,4.3,22
F0117,"['AWS', 'Django', 'NodeJS', 'Python']",47.88,3.3,48
F0118,"['JavaScript', 'Docker', 'AWS', 'Django']",31.47,3.1,11
F0119,"['NodeJS', 'SQL', 'React', 'Python', 'Django']",86.62,3.6,35
F0120,"['JavaScript', 'React', 'NodeJS', 'Docker']",66.93,3.5,49
F0121,"['React', 'Docker', 'Django', 'Python', 'SQL']",79.23,4.3,94
F0122,"['JavaScript', 'React', 'NodeJS', 'SQL', 'Docker']",62.58,3.5,68
F0123,"['Docker', 'NodeJS']",44.29,4.6,31
F0124,"['React', 'SQL', 'Django', 'Python', 'Docker']",22.86,4.6,35
F0125,"['Django', 'React', 'JavaScript', 'Python', 'NodeJS']",95.7,4.9,56
F0126,"['NodeJS', 'React', 'Django', 'AWS']",68.05,3.2,39
F0127,"['React', 'AWS']",93.79,4.7,19
F0128,"['AWS', 'JavaScript']",85.23,4.4,92
F0129,"['JavaScript', 'AWS', 'Docker']",99.72,4.3,25
F0130,"['SQL', 'React', 'JavaScript']",38.68,4.3,88
F0131,"['Django', 'Docker', 'AWS']",39.31,4.1,45
F0132,"['NodeJS', 'Python', 'React', 'Django']",46.03,4.9,35
F0133,"['Python', 'Django', 'Docker']",64.43,5.0,25
F0134,"['AWS', 'Django', 'NodeJS']",53.65,3.1,25
F0135,"['Django', 'React']",51.15,4.0,6
F0136,"['AWS', 'React', 'Django', 'JavaScript']",25.16,3.8,12
F0137,"['JavaScript', 'NodeJS', 'AWS']",18.0,3.9,18
F0138,"['Docker', 'React', 'SQL', 'Python', 'Django']",87.87,3.6,55
F0139,"['JavaScript', 'Python', 'React', 'Docker', 'AWS']",77.43,4.8,73
F0140,"['React', 'SQL']",99.59,4.3,98
F0141,"['NodeJS', 'Docker']",50.85,4.4,9
F0142,"['Docker', 'NodeJS', 'Django', 'Python', 'JavaScript']",84.52,4.0,72
F0143,"['SQL', 'AWS']",57.05,3.1,15
F0144,"['Python', 'Django']",93.91,4.3,36
F0145,"['React', 'SQL', 'Python', 'NodeJS', 'Docker']",19.49,3.5,95
F0146,"['AWS', 'Django', 'JavaScript']",94.95,3.7,23
F0147,"['Docker', 'NodeJS']",52.33,3.7,39
F0148,"['Django', 'NodeJS', 'SQL', 'React', 'AWS']",39.85,3.8,14
F0149,"['NodeJS', 'JavaScript', 'SQL', 'Django', 'React']",26.22,3.4,91
F0150,"['AWS', 'SQL', 'JavaScript', 'React', 'Python']",35.84,4.3,91
F0151,"['Python', 'React', 'SQL']",92.71,5.0,49
F0152,"['NodeJS', 'AWS', 'React']",73.09,5.0,58
F0153,"['Python', 'SQL']",43.43,3.5,78
F0154,"['Docker', 'NodeJS', 'SQL', 'React', 'JavaScript']",98.89,4.9,72
F0155,"['AWS', 'Django', 'JavaScript', 'SQL']",74.18,3.1,38
F0156,"['AWS', 'Python', 'SQL']",91.25,4.7,86
F0157,"['JavaScript', 'AWS']",97.73,3.5,7
F0158,"['AWS', 'Docker', 'NodeJS', 'SQL']",60.97,4.6,94
F0159,"['AWS', 'JavaScript', 'SQL', 'NodeJS']",51.21,3.2,75
F0160,"['SQL', 'Docker', 'NodeJS']",63.28,3.9,17
F0161,"['SQL', 'JavaScript', 'Django']",88.14,3.8,8
F0162,"['AWS', 'JavaScript']",98.09,3.2,40
F0163,"['SQL', 'Django', 'Docker', 'Python', 'NodeJS']",29.0,3.7,76
F0164,"['React', 'Python', 'NodeJS']",26.29,3.9,20
F0165,"['SQL', 'JavaScript']",72.9,3.8,53
F0166,"['SQL', 'Python', 'Django']",32.34,4.0,67
F0167,"['Docker', 'React', 'JavaScript']",63.79,3.4,96
F0168,"['Docker', 'AWS', 'React', 'SQL', 'Python']",33.66,4.3,23
F0169,"['Docker', 'React']",24.29,3.1,44
F0170,"['React', 'Docker', 'SQL']",92.62,3.9,21
F0171,"['Python', 'Django']",81.74,4.9,12
F0172,"['NodeJS', 'Docker', 'Python']",55.9,4.7,57
F0173,"['Docker', 'NodeJS']",92.65,3.4,58
F0174,"['Docker', 'JavaScript']",68.62,4.9,67
F0175,"['JavaScript', 'Django']",87.58,3.3,87
F0176,"['SQL', 'Docker']",77.42,4.6,95
F0177,"['React', 'AWS', 'Python', 'SQL']",36.73,4.7,70
F0178,"['React', 'Docker']",56.6,3.7,31
F0179,"['JavaScript', 'React', 'AWS', 'NodeJS', 'Django']",54.72,3.8,69
F0180,"['AWS', 'React', 'JavaScript', 'NodeJS', 'Django']",56.12,4.4,56
F0181,"['Django', 'React', 'Docker']",96.26,4.1,96
F0182,"['JavaScript', 'React', 'Python']",51.67,3.3,50
F0183,"['Django', 'NodeJS', 'Docker', 'React', 'AWS']",92.19,4.1,22
F0184,"['Docker', 'Django']",39.49,3.1,61
F0185,"['JavaScript', 'Docker', 'React', 'SQL', 'Python']",69.79,4.8,12
F0186,"['SQL', 'NodeJS', 'JavaScript', 'Django', 'Python']",98.02,4.6,20
F0187,"['Docker', 'React', 'SQL']",99.18,4.9,69
F0188,"['JavaScript', 'Python', 'Docker', 'SQL', 'NodeJS']",52.6,4.3,89
F0189,"['Django', 'NodeJS']",17.19,3.6,29
F0190,"['JavaScript', 'SQL', 'Python']",71.24,3.3,24
F0191,"['React', 'Python', 'JavaScript']",97.15,4.5,97
F0192,"['SQL', 'React']",25.6,3.4,56
F0193,"['AWS', 'SQL', 'React']",69.87,3.1,39
F0194,"['Docker', 'AWS', 'JavaScript', 'Python', 'SQL']",72.16,3.2,48
F0195,"['Docker', 'Django', 'Python', 'SQL', 'React']",57.9,4.3,36
F0196,"['Python', 'JavaScript', 'React', 'NodeJS']",75.6,3.2,51
F0197,"['Docker', 'JavaScript', 'Django']",45.72,4.0,86
F0198,"['React', 'JavaScript', 'Docker', 'NodeJS', 'Django']",45.94,3.8,46
F0199,"['SQL', 'Django', 'Python', 'React', 'JavaScript']",97.04,4.9,13
F0200,"['AWS', 'NodeJS', 'SQL', 'Docker']",43.66,4.9,71
F0201,"['JavaScript', 'Python', 'NodeJS', 'SQL']",71.79,3.1,70
F0202,"['NodeJS', 'Django', 'React', 'JavaScript', 'AWS']",15.73,3.7,69
F0203,"['NodeJS', 'React']",37.69,3.1,71
F0204,"['NodeJS', 'Django', 'AWS', 'Docker']",81.41,3.7,22
F0205,"['JavaScript', 'NodeJS', 'Docker', 'AWS', 'SQL']",63.61,3.8,7
F0206,"['NodeJS', 'Django']",99.24,4.9,63
F0207,"['Docker', 'JavaScript', 'Python', 'SQL', 'AWS']",79.43,3.7,14
F0208,"['JavaScript', 'Python', 'SQL', 'Docker']",53.4,4.0,51
F0209,"['NodeJS', 'AWS', 'Django', 'Docker']",58.35,3.7,5
F0210,"['AWS', 'Python', 'Docker', 'NodeJS', 'JavaScript']",30.95,3.5,7
F0211,"['AWS', 'NodeJS']",61.21,3.0,72
F0212,"['SQL', 'AWS']",79.57,4.2,41
F0213,"['JavaScript', 'Docker', 'SQL']",24.93,4.3,96
F0214,"['SQL', 'Docker', 'React', 'AWS', 'Python']",76.98,3.1,41
F0215,"['JavaScript', 'Docker', 'React', 'Django', 'AWS']",63.6,4.8,90
F0216,"['Python', 'SQL']",21.89,3.9,85
F0217,"['AWS', 'JavaScript', 'NodeJS', 'SQL', 'Python']",55.64,3.4,59
F0218,"['Python', 'JavaScript', 'Django', 'React']",82.67,4.3,33
F0219,"['Docker', 'Python', 'React']",74.64,3.6,89
F0220,"['Python', 'React', 'SQL']",44.36,3.8,93
F0221,"['NodeJS', 'Docker', 'AWS']",89.23,4.2,5
F0222,"['Python', 'SQL', 'React', 'AWS', 'JavaScript']",59.66,4.1,9
F0223,"['Django', 'NodeJS', 'AWS']",57.7,3.4,45
F0224,"['JavaScript', 'Django', 'Python', 'NodeJS']",18.6,4.4,59
F0225,"['AWS', 'Python', 'Docker']",78.37,3.1,69
F0226,"['React', 'Docker', 'AWS']",50.42,3.3,97
F0227,"['Python', 'AWS']",15.77,4.5,19
F0228,"['JavaScript', 'React']",59.59,4.3,44
F0229,"['NodeJS', 'SQL', 'Docker', 'AWS']",89.68,4.0,90
F0230,"['Django', 'AWS', 'SQL', 'Docker']",34.27,4.4,11
F0231,"['Docker', 'React', 'Django', 'JavaScript', 'SQL']",17.87,4.5,51
F0232,"['Docker', 'React']",95.03,3.8,7
F0233,"['React', 'Docker']",21.21,4.8,38
F0234,"['Django', 'NodeJS']",50.32,4.1,81
F0235,"['React', 'AWS', 'JavaScript', 'Django']",67.04,4.5,76
F0236,"['JavaScript', 'Docker', 'AWS', 'React']",98.02,4.5,80
F0237,"['SQL', 'NodeJS', 'JavaScript', 'Django', 'React']",75.65,4.7,39
F0238,"['JavaScript', 'Python', 'SQL', 'React']",35.13,3.3,70
F0239,"['NodeJS', 'SQL', 'React']",81.6,3.6,74
F0240,"['Django', 'AWS']",79.65,4.4,10
F0241,"['SQL', 'Django', 'JavaScript', 'React', 'AWS']",79.61,4.1,70
F0242,"['Python', 'AWS', 'Django', 'JavaScript', 'NodeJS']",64.04,5.0,9
F0243,"['SQL', 'Django', 'JavaScript', 'NodeJS']",98.33,3.7,91
F0244,"['Django', 'Docker', 'JavaScript', 'React', 'NodeJS']",17.47,3.9,77
F0245,"['JavaScript', 'Django', 'React', 'NodeJS', 'Docker']",98.5,4.8,90
F0246,"['JavaScript', 'React', 'AWS', 'NodeJS', 'Python']",76.9,4.4,61
F0247,"['Django', 'Python', 'NodeJS', 'React', 'Docker']",86.23,4.0,99
F0248,"['Python', 'Docker', 'AWS']",69.84,4.2,60
F0249,"['Docker', 'SQL', 'React', 'JavaScript', 'NodeJS']",25.4,4.7,21
F0250,"['NodeJS', 'Django', 'Python', 'JavaScript']",65.11,3.7,51
F0251,"['NodeJS', 'Django', 'AWS']",77.9,3.7,13
F0252,"['Python', 'Django', 'Docker']",60.98,3.2,19
F0253,"['Python', 'JavaScript', 'SQL', 'Django']",60.32,3.8,33
F0254,"['React', 'NodeJS', 'Docker', 'AWS', 'SQL']",43.26,3.4,71
F0255,"['React', 'Docker', 'AWS']",44.2,3.7,73
F0256,"['Docker', 'Django', 'React']",32.9,4.4,18
F0257,"['JavaScript', 'AWS', 'Docker', 'Django']",47.53,4.7,18
F0258,"['NodeJS', 'Docker']",74.14,4.4,45
F0259,"['Python', 'NodeJS']",45.71,4.5,94
F0260,"['JavaScript', 'Django', 'React']",35.97,4.3,39
F0261,"['Python', 'SQL', 'JavaScript', 'Docker', 'Django']",53.1,3.9,95
F0262,"['AWS', 'Python', 'NodeJS', 'Django', 'Docker']",46.65,3.3,39
F0263,"['SQL', 'Docker', 'Django', 'JavaScript']",39.87,3.2,83
F0264,"['AWS', 'React', 'JavaScript', 'Docker', 'SQL']",94.96,4.8,54
F0265,"['React', 'JavaScript', 'AWS', 'Django', 'NodeJS']",63.02,3.5,81
F0266,"['React', 'Python', 'AWS', 'JavaScript']",35.63,3.5,78
F0267,"['AWS', 'React', 'Django', 'JavaScript']",83.71,4.0,38
F0268,"['NodeJS', 'React', 'Django', 'AWS']",46.39,4.1,27
F0269,"['Python', 'NodeJS', 'SQL']",18.93,3.0,13
F0270,"['Docker', 'AWS', 'Python', 'Django']",44.1,3.6,33
F0271,"['JavaScript', 'NodeJS', 'React']",91.59,3.6,76
F0272,"['AWS', 'JavaScript', 'Python']",62.56,3.2,25
F0273,"['React', 'Python', 'SQL', 'Docker']",20.05,3.9,21
F0274,"['Python', 'SQL', 'NodeJS', 'JavaScript']",77.85,4.1,81
F0275,"['AWS', 'Docker', 'NodeJS', 'SQL', 'Django']",53.75,4.7,37
F0276,"['AWS', 'Python']",54.42,4.2,11
F0277,"['Python', 'Docker', 'SQL', 'JavaScript', 'NodeJS']",68.1,3.6,69
F0278,"['Python', 'AWS']",94.82,3.1,63
F0279,"['JavaScript', 'NodeJS']",18.43,4.1,14
F0280,"['AWS', 'Django', 'NodeJS', 'Python', 'React']",50.9,4.7,97
F0281,"['SQL', 'React', 'AWS', 'Python']",26.8,4.8,36
F0282,"['React', 'NodeJS', 'JavaScript', 'Django', 'SQL']",27.55,3.8,82
F0283,"['Docker', 'NodeJS', 'SQL', 'React', 'Python']",95.97,4.4,99
F0284,"['SQL', 'Docker', 'React', 'JavaScript']",23.14,4.8,49
F0285,"['React', 'NodeJS', 'SQL', 'Django']",73.42,3.4,94
F0286,"['JavaScript', 'Django', 'AWS']",51.86,4.7,56
F0287,"['AWS', 'NodeJS', 'Django', 'JavaScript']",60.42,3.0,46
F0288,"['AWS', 'JavaScript', 'NodeJS', 'Python', 'SQL']",48.68,3.5,86
F0289,"['Django', 'React', 'Python']",85.4,4.2,47
F0290,"['Python', 'AWS', 'Docker']",55.01,4.8,9
F0291,"['Django', 'Python', 'SQL']",77.06,5.0,14
F0292,"['SQL', 'NodeJS', 'Python']",48.95,3.4,71
F0293,"['React', 'JavaScript', 'Docker', 'SQL']",79.22,3.4,80
F0294,"['Docker', 'JavaScript', 'SQL', 'Python']",53.19,4.1,91
F0295,"['AWS', 'SQL', 'Docker', 'Python']",28.34,4.8,41
F0296,"['JavaScript', 'Django']",40.42,3.7,37
F0297,"['Python', 'SQL', 'JavaScript', 'Docker', 'NodeJS']",77.6,3.2,75
F0298,"['Python', 'Docker', 'NodeJS', 'JavaScript', 'SQL']",40.84,4.3,70
F0299,"['NodeJS', 'Docker', 'Python', 'JavaScript', 'React']",85.33,3.8,20
F0300,"['React', 'JavaScript', 'Django', 'AWS', 'SQL']",56.16,3.9,72
F0301,"['Python', 'NodeJS', 'SQL', 'AWS', 'React']",81.69,3.0,97
F0302,"['SQL', 'Django', 'Python', 'React']",45.71,4.9,89
F0303,"['React', 'NodeJS', 'JavaScript', 'SQL', 'Docker']",47.62,4.0,69
F0304,"['Django', 'JavaScript', 'NodeJS', 'AWS']",57.01,4.1,71
F0305,"['AWS', 'Python']",87.6,4.3,88
F0306,"['NodeJS', 'Docker', 'Python', 'React', 'JavaScript']",37.0,4.6,58
F0307,"['AWS', 'NodeJS', 'React', 'JavaScript']",49.96,4.2,26
F0308,"['React', 'Docker']",27.96,4.4,56
F0309,"['Docker', 'Django', 'JavaScript']",34.98,4.5,66
F0310,"['Docker', 'NodeJS']",41.01,4.0,5
F0311,"['NodeJS', 'SQL', 'React', 'Docker']",20.54,3.7,46
F0312,"['NodeJS', 'Docker', 'SQL', 'Python']",73.65,4.8,99
F0313,"['SQL', 'JavaScript', 'React']",84.74,3.3,100
F0314,"['React', 'Docker']",35.83,4.2,64
F0315,"['Python', 'AWS', 'NodeJS']",46.29,4.8,12
F0316,"['NodeJS', 'React', 'JavaScript', 'Docker']",79.14,3.3,49
F0317,"['AWS', 'NodeJS', 'SQL', 'Python']",39.07,4.0,43
F0318,"['NodeJS', 'SQL']",57.0,5.0,9
F0319,"['NodeJS', 'React']",59.17,4.7,12
F0320,"['Python', 'NodeJS', 'JavaScript']",22.69,4.3,41
F0321,"['Docker', 'AWS', 'React', 'JavaScript']",65.25,4.0,97
F0322,"['Django', 'SQL', 'Python']",61.97,4.9,66
F0323,"['Docker', 'SQL', 'Python', 'JavaScript', 'React']",48.78,4.4,23
F0324,"['SQL', 'Docker', 'AWS']",75.88,3.6,19
F0325,"['React', 'AWS', 'Django']",65.3,4.5,67
F0326,"['JavaScript', 'Python']",93.55,3.7,55
F0327,"['SQL', 'Django', 'Python']",19.89,4.5,49
F0328,"['SQL', 'AWS']",31.16,3.8,24
F0329,"['Django', 'NodeJS', 'AWS']",48.63,4.2,73
F0330,"['NodeJS', 'SQL', 'Django', 'Docker']",47.95,3.5,90
F0331,"['Docker', 'NodeJS', 'Django', 'AWS', 'JavaScript']",91.58,3.3,95
